restaurant_id,city_id,name,international_phone_number,formatted_address,latitude,longitude
584,1,The Coffee Exchange,14165918430,"109 McCaul St #34, Toronto, ON M5T 3K5, Canada",43.653718,-79.390904
585,1,Souvlaki House,14163517231,"109 McCaul St, Toronto, ON M5T 3K5, Canada",43.6538096,-79.3909719
586,1,Thai Bright,14163418828,"109 McCaul St, Toronto, ON M5T 2X3, Canada",43.6537184,-79.3909035
587,1,Elephant & Castle,14165984455,"212 King St W, Toronto, ON M5H 1K5, Canada",43.6475556,-79.3864149
588,1,Osaka Sushi,14164221860,"747 Don Mills Rd #9, North York, ON M3C 1T2, Canada",43.714021,-79.3349663
589,1,Occasions Restaurant,14164693065,"30 Eastwood Rd, Toronto, ON M4L 3B6, Canada",43.6733853,-79.3182713
590,1,Art Square Cafe,14165955222,"334 Dundas St W, Toronto, ON M5T 1G5, Canada",43.654289,-79.39253
591,1,North Pole Bakery,14164666435,"1210 Danforth Ave, Toronto, ON M4J 1M6, Canada",43.6817382,-79.3319491
592,1,Kupfert & Kim,14166011333,"181 Bay St, Toronto, ON M5J 2T3, Canada",43.647208,-79.379381
593,1,Time Capsule Cafe,14166668875,"2183 Danforth Ave, Toronto, ON M4C 1K4, Canada",43.6861884,-79.3100033
594,1,The WORKS,14165949675,"60 Wellington St E, Toronto, ON M5E 1C7, Canada",43.6487178,-79.3740821
595,1,Le Cafe Michi,14164909688,"1802 Pharmacy Ave, Scarborough, ON M1T 1K1, Canada",43.7755898,-79.3178378
596,1,Gallery Sushi,14165972580,"285 Dundas St W, Toronto, ON M5T 1G1, Canada",43.6543369,-79.3907287
597,1,Baskin Robbins,14163401838,"275 Dundas St W, Toronto, ON M5T 2W5, Canada",43.6542513,-79.390409
598,1,Burger Shack,14164871974,"233 Eglinton Ave W, Toronto, ON M4R 1A9, Canada",43.7047461,-79.4057842
599,1,Maple Yip,14162971438,"4227 Sheppard Ave E, Scarborough, ON M1S 5H5, Canada",43.7845069,-79.2777149
600,1,Mamma's Pizza,14166900707,"2118 Queen St E, Toronto, ON M4E 1E2, Canada",43.6712528,-79.2949853
601,1,Salmon Lovers,14165918697,"294 Dundas St W, Toronto, ON M5T 1G2, Canada",43.654486,-79.391186
602,1,Golden Pizza,14164257717,"2360 Danforth Ave, Toronto, ON M4C 1K7, Canada",43.6873095,-79.3063329
603,1,Ka Chi,14165983222,"414 Dundas St W, Toronto, ON M5T 1G6, Canada",43.653773,-79.395015
604,1,Sang's Great Seafood,14165912188,"343 Spadina Ave, Toronto, ON M5T 2G3, Canada",43.655145,-79.398653
605,1,Sushi Legend,14164968881,"10 Ravel Rd #3, North York, ON M2H 1S8, Canada",43.7906129,-79.365861
606,1,B&B Fish and Chips,14164663185,"1116 Queen St E, Toronto, ON M4M 1K9, Canada",43.662222,-79.3353909
607,1,Maki My Way,14165998828,"293 King St W, Toronto, ON M5V 1J5, Canada",43.6463565,-79.3900436
608,1,Urban Thai,14165358424,"638 College St, Toronto, ON M6G 1B4, Canada",43.655094,-79.41553
609,1,YAYA,14164639292,"1186 Queen St E, Toronto, ON M4M 1L4, Canada",43.6630594,-79.3317616
610,1,Goldstone Noodle,14165969053,"266 Spadina Ave, Toronto, ON M5T 2E4, Canada",43.652129,-79.3981774
611,1,ki modern japanese + bar,14163085888,"181 Bay St, Toronto, ON M5J 2T3, Canada",43.647239,-79.379417
612,1,Congee Wong,14164938222,"10 Ravel Rd, North York, ON M2H 1S8, Canada",43.790631,-79.3657333
613,1,Aoyama Sushi,14164947373,"2766 Victoria Park Ave, Scarborough, ON M1W 1C2, Canada",43.7871139,-79.3290842
614,1,North Of Bombay,14166049465,"2996 Dundas St W, Toronto, ON M6P 1Z3, Canada",43.665577,-79.469321
615,1,Chabrol,14164286641,"90 Yorkville Ave, Toronto, ON M5R 1B9, Canada",43.6712119,-79.3918458
616,1,Wayne Gretzky's,14163480099,"99 Blue Jays Way, Toronto, ON M5V 9G9, Canada",43.6451829,-79.3916912
617,1,b.good,14163634663,"100 Front St E, Toronto, ON M5A 1E1, Canada",43.64976,-79.371209
618,1,Jack Astor's,14165959100,"133 John St, Toronto, ON M5V 2E4, Canada",43.648657,-79.390418
619,1,Hotmess Tex-Mex,14165511322,"615 College St, Toronto, ON M6G 1B5, Canada",43.6549543,-79.4146607
620,1,Pazzia Osteria,14162521566,"848 The Queensway, Etobicoke, ON M8Z 1N7, Canada",43.6250365,-79.5095013
621,1,Le Papillon on Front,14163670303,"69 Front St E, Toronto, ON M5E 1B5, Canada",43.6484845,-79.3733425
622,1,California Sandwiches,14166363200,"3701 Chesswood Dr, North York, ON M3J 2P6, Canada",43.7560444,-79.4739679
623,1,Rebozos,14166585001,"126 Rogers Rd, York, ON M6E 4B4, Canada",43.6848007,-79.4496334
624,1,CASA manila Restaurant,14164439654,"879 York Mills Rd Unit #1, Toronto, ON M3B 1Y5, Canada",43.754956,-79.3488879
625,1,Pho 88,14162258899,"5197 Yonge St, North York, ON M2N 5P7, Canada",43.770522,-79.412905
626,1,Brioche Dorée,14163645137,"648 King St W, Toronto, ON M5V 1M7, Canada",43.6442512,-79.4018466
627,1,Haandi,14164699696,"1401 Gerrard St E, Toronto, ON M4L 1Z5, Canada",43.67183,-79.323498
628,1,Thai Room,14166938424,"2063 Danforth Ave, Toronto, ON M4C 1J8, Canada",43.6854285,-79.313163
629,1,Chutney's,14162311367,"3077 Bloor St W, Etobicoke, ON M8X 1C7, Canada",43.6465726,-79.5139399
630,1,The Shore Club - Toronto,14163513311,"155 Wellington St W, Toronto, ON M5V 3H1, Canada",43.6455633,-79.3865711
631,1,Sunset Grill,14164660648,"1602 Danforth Ave, Toronto, ON M4C 1H6, Canada",43.6835946,-79.3231182
632,1,Harvey's,14166911284,"1641 Queen St E, Toronto, ON M4L 1G4, Canada",43.6664338,-79.3150736
633,1,Denny's,14165996161,"121 Dundas St W, Toronto, ON M5G 1C4, Canada",43.6553742,-79.3844123
634,1,Le Sélect Bistro,14165966405,"432 Wellington St W, Toronto, ON M5V 1E3, Canada",43.6438894,-79.3968464
635,1,La Bettola Di Terroni,14165049998,"106 Victoria St, Toronto, ON M5C 2B4, Canada",43.652081,-79.378046
636,1,Glow Fresh Grill & Wine Bar,14163841133,"7 Marie Labatte Rd, Toronto, ON M3C 0J1, Canada",43.7340964,-79.3456053
637,1,China Town,14162486646,"1790 Jane St, York, ON M9N 2T2, Canada",43.7063783,-79.5050552
638,1,Green Lady,14164058877,"1176 Danforth Ave, Toronto, ON M4J 4B3, Canada",43.6814959,-79.3328053
639,1,Pizza Pide,14164629666,"949 Gerrard St E, Toronto, ON M4M 1Z1, Canada",43.6680129,-79.340506
640,1,Roberto's,14164892153,"2622 Yonge St, Toronto, ON M4P 2J4, Canada",43.7152069,-79.4003914
641,1,Mi Ne Sushi,14166231975,"325 Bremner Blvd, Toronto, ON M5V 3V3, Canada",43.6404903,-79.3908628
642,1,Burrito Boyz,14163542699,"1197 The Queensway, Etobicoke, ON M8Z 1R8, Canada",43.621556,-79.522664
643,1,Crimson Teas,14164323139,"415 Spadina Ave, Toronto, ON M5T 2G6, Canada",43.6570041,-79.3995013
